kelime,anlam
gınnap,kenevirden yapılan ip
gicişmek,kaşınmak
girobolu,bal mumu
goğumsu,yanık bez kokusu
goncoloz,hortlak
gondura,ayakkabı
göğünmek,hararet nedeniyle kumaşın renginin atması
gömeç,ebe gömeci
gönenmek,mal sahibi olmak
görükmek,görünmek
görümlük,delikanlıların nişanlılarına ilk verdikleri ziynet eşyası
gövermek,vücutta yeşillik peyda olması
gunnamak,doğurmak
guşluk,sabahla öğle vaktinin arası
günburnu,güneşin doğarken veya batarken görünen ufak parçası
gümbül,susamı kökünden çektikten sonra
halabı,yeşil renkli bir cinc incir
hamaylı,göğüste taşınan küçük kuran-ı kerim veya dua
hamıt,atların koşumlarının bağlandığı boyunduruk
hamlama,hayvanların buğday ve arpayı çok yiyerek hastalanması
hapan,kuş tuzağı
haral,kıldan yapılmış büyük çuval
harnup,keçiboynuzu meyvesi
he,evet anlamına bir ifade
hecin,deve
hefkere,evlerin önünde sebze yetiştirilen bir kaç evleklik toprak parçası
helgin,kuplu büyük bakır leğen
heye,evet anlamında bir ifade
hezen,kalın direk
hışva,açılmış pamuk kozasının çöpü
irağ,uzak
iramak,uzaklaşmak
istapan,yaban teresi
iz,çok az
i̇bili,tarla kuşu
i̇kircik,i̇ki anlama da gelebilen söz
i̇kidemirli,i̇ki ağızlı (bıçaklı) saban
i̇lağan,leğen
i̇lenger,yayvan bakır kap
i̇llengeç,yengeç
i̇nne,i̇ğne
i̇rişgin,et sucuğu
i̇spit,araba tekerleğinin parmakları
i̇t,köpek
i̇tâ,pamuktan yapılmış hamur çuvalı ve örtüsü
i̇tdirseği,göz kapağında çıkan arpacık
i̇teği,buğday ve saire kurutmak için yünden yapılmış tüysüz battaniye
i̇vez,sivrisinek
kabkacak,mutfak eşyaşının tamamı
kalıç,orak
kangala,gelincik çiçeği
kedik,çocuk ayakkabısı
kekmek,kuş gagası
kekmük,tavuk gagası
kelam,söz
kelek,ham kavun veya karpuz
kelep,kangal şeklinde büyük
keli,düz arazi içinde taşlı tümsek yer
kelpen,kadınların süs olarak kol üstüne koydukları kumaş parçası
kemçik,ağzı çukur ve içeri çökmüş gibi görünen
kendir,kenevirden yapılmış ip
kenger,eşek dikeni
kepez,gelin duvağı
kepkebi,i̇ri başlı ufak demir çiviler
kerkinmek,cinsi temas halinde iken yapılan vücud hareketi
kernip,kurumuş su kabağından oyulan su kabı
kertilmek,çentik açmak
kesân,dana burnu
kesmik,i̇ri saman taneleri
kındıra,çayır şeklinde yapraklarının kenarı keskin bir ot
kırklı,loğusa (yeni doğurmuş hamile kadın) bir hanımın ilk kırk günlük dönemi
kısık,i̇ki dağ veya tepenin arasındaki dar geçit
kıska,arpacık soğanı
kurmut,yaban armudu
kuşluk,kuşların ilk uyandığı sabah ile öğle vakti arasındaki zaman
küf,çocuk başlığı
küffar,ecnebi ülkeler
küheylan,cins arap atı
külek,tahıl ölçmeye yarayan iki teneke hacimli ölçek
küllük,sigara tablası
künefe,taze peynirle yapılan kadayıf tatlısı
küpeli,büyük iki kulplu tencere
kürrük,eşşek yuvası
küskü,ucu sivri kazık (ağaç)
kütlü,çiğidi (çekirdeği) çıkarılmış pamuk
lenger,kalaysız bakır sahan
leylim,limon
lığlamak,yavaşça ve keyifli bir şekilde
libiye,taze fasulyeden yapılan bir yemeğin adı
loğ,silindir
loğusa,doğum yapmış kadın
lök,yük devesi
mah,al işte bak
manık,kedi yavrusu
maştala,sebze fidelerinin hepsine birden söylenen söz
mavzer,kırıkkale piyade tüfeği
abrası olmak,bir sıkıntının üstüne sıkıntı gelmek
ağartı,süt
ağlenmek,araba için: durmak
aleşmek,bir yerde oturmak
ahıldane,herkese akıl veren
ahraz,dilsiz
aktarmak,sacın üzerinde yufkayı döndermek
alayı,hepsi
al karısı,lohusalara geldiğine inanılan efsanevi yaratık
anışdırmak,anlaşılması için dolaylı yoldan hatırlatmak
arık,zayıf
arlanmak,utanmak
atlı,edepsiz
avgun,su taksimatının yapıldığı oyuk taş
avkalamak,elleri ile sarsmak
ayıtlamak,ayıklamak
aynı gelmek,mektubun cevabı gelmek
ayrıksı,uyumsuz
azınsımak,az bulmak
babalanmak,zıkkımlanmak anlamında yemek
bacılık,ahret kardeşliği
bad,i̇nce bulgurla yapılan etli dolma içi
bağdaş kurmak,bacaklarını dizden bükerek altına alıp oturmak
batal,i̇ri
bayah,bayahtan
bekitmek,sağlamlaştırmak
beslek,hizmetçi
bezirgân pilavı,i̇çine soğan
bezmek,usanmak
bir cimcik,bir fiske tuz için kullanılır. çok ufak tefek insana da denir.
bir goşam,i̇ki avuç dolusu
bişgel,çabuk pişen yiyecek veya iyi pişmiş yemek
bişirim,pişirim. pişirmelik kadar olan
bun,bunalma hali
burunlamak,kıymet vermemek
büngüldemek,kaynamak
cambaz,hayvan alıp satan kimse
camuz,manda
can leğeni,i̇çinde ölü yemeği yapılan büyük leğen
cazı,suratsız
ceht,bir şeyi yapmaya kararlı olma
cingan,çingene
ciyiş,yakın akraba veya komşu yaşlı kadın
çalınmak,bir şeyi etrafta acele ile aramak
çeç,savrulan samandan ayrılmış buğday yığını
çecik,tülbenti başın etrafına sararak bağlama tarzı
çemkürmek,azarlamak
çemrenmek,paçaları sıvamak
çepük,alkış
çelpeşük,çalpak iş
çevrüntü,elekte ortada toplanan ot tohumu
çığırmak,çağırmak
çığrık,çıkrık
çıngı,kıvılcım
çıtlatmak,bir şeyi üstü kapalı anlatmaya çalışmak
çöçelenmek,konuşamamak
çöğlenmek,bir tarafı eğilip devrilmek
çördük,küçük yabani armut
çullu,varlıklı
çulsuz,fakir
dadanmak,alışmak
dalamuk,i̇nce yapılı
darazımak,elbisenin dikiş yerinden eskiyerek incelmesi ve açılması
darıkmak,darda kalmak
dartılmak,kibirlenmek. dartıla dartıla iş görmek: yavaş ve salınarak iş görmek
dayak,destek
deli depek,dengesiz insan
depme,yünden dokunmuş büyük un çuvalı
devlik görmek,kış hazırlığı yapmak
devrisi gün,ertesi gün
dındıklamak,fazla incelemek
dilmek,i̇nce doğramak
dingildemek,oynamak
dirliksiz,geçimsiz
dolak,başa veya dize dolanan uzun yün örgüsü
donak,giyim
donanmak,giyinmek
döşürüksüz,tertipsiz
düremeç,ekmek arasına peynir vb. konularak hazırlanan yiyecek
düven,döğen. biçilmiş ekinleri sürmek için kullanılan altına çakmak taşları konulmuş ve öküzler tarafından çekilen tahta
düzayak,merdiveni olmayan
eğin,sırt
eke toka,bilmiş
ekis nükte yapmak,alaycı ve kırıcı konuşmak
eksük görmek,evin ihtiyacını veya evlenecek kızın ihtiyacını almak
ekti oğlak,anası ölen yavru başka bir hayvana alıştırılırsa bu yavruya denir
elçim,yün tararken
em,merhem
emiceklik vermek,umut vermek
evme,acele etmek
farfara,çok konuşan
fing atmak,ordan oraya durmadan gitmek
farımak,yaşlanmak
fetil,taze yemek için yapılan kalın yufka ekmeği
gadingeyenge,amca
garametli,talihsiz
geçmiş,i̇htiyarlamış
gelberi,tandırdan kül çekmeye yarayan demirden alet
gejgere,i̇ki kollu küçük sedye
gevşemek,geviş getirmek
gılik,ortası delik ekmek
görümcağız,küçük görümce
gursaklı,kursaklı
gümen,şüphe
gümenli,hamile
güvermek,otlar için: yeşermek. bir yere çarpma sonucu vücudun morarması
güvertme,ufak çocuklarda çıkan küçük çıban
harar,yünden dokunmuş çuval
hasput,kağnı tekeri
hasuda,aside. un
havflenmek,korkmak
hayvah,eyvah
hırtlak,gırtlak
hızan,yoksul
horam,bir elin kavrayacağı ot
hozan,ekin biçildikten sonra tarlada kalan kısmı
ihmak,çökmek
i̇ki tek,az
i̇leğen,leğen
i̇ndiriş etmemek,tenezzül etmemek
i̇skemi,sandalye
i̇şkillenmek,şüphelenmek
i̇t dirseği,arpacık
ivga vermek,kışkırtmak
i̇yeşmek,sürtüşmek
kanatlı,evin iki yana açılan sokak kapısı
kanayak,kadın
kanlı,katil
karış,beddua
karmak,arkasından konuşmak
kârınsıma,kâr sayma
katık,ayran
kavramak,el ile ekin yolmak
kavum hısım,akrabalar
kavurma herlesi,unu yağda hafif kavurup
keçe delen,çok kuvvetli ve devamlı yağan yağmur
kehle,bit
kelecoş,peskütan ile yapılan bir çeşit koyuca çorba
kemçük,dişsiz
kesek,tarlada iri ve sert olan toprak parçası
kete,i̇çine kavrulmuş un konularak yapılan yağlı börek
kıyımsız,cimri
kızıllanmak,kıskanmak
kızı olacağı,üvey kızı
kivra,kirve
kor (kör),çukur
köp,kağnının
köremez,süt yoğurt karışımı bir yiyecek
kötülemek,sağlığı bozulmak
közlemek,ateşte kızartmak
kurcalamak,karıştırmak
kuşhana,ağzı kapaklı
küflet,ev halkı
kürük,eşek yavrusu
mısmıl,i̇yi
mundar,murdar. pis
mundar etmek,bir şeyi ziyan etmek
müzevir,fitneci
nâlet,lânet
natır,kadınlar hamamında hizmet eden kadın görevli
nekes,cimri
nemârek,neyime gerek
nemrut,asık suratlı
nörüyon,ne yapıyorsun?
onmak,i̇yi gün görmek
ovmaç,yufka ekmeğin parçalanmasıyla yapılan yağlı yemek
oynaş,dost
öcbelemek,israr etmek
öndüç,ödünç
özelemek,yoğurdu karıştırarak ezmek
partalcı,palavracı
pepe,kekeme
peskütan,yoğurdun az un ile pişirilmesiyle hazırlanan kışlık yiyecek
pıskırık,aksırık
puhari,baca
rapata,tandıra hamur yapıştırmaya yarayan tutacak
sâbi,küçük çocuk
sınamak,denemek
sınıkçı,kırık
sınmak,kırmak
sille,tokat
soharıç,soğan
sohum,lokma
sokranmak,söylenmek
sünmek,uzamak
süyem,baş parmak ile
şeremet,eline çabuk
şire,şıra. tatlılara ekilen şerbet
şişek,yaşına değmiş dişi koyun
şişmek,şımarmak
taze gelin,yeni gelin
tirit,yemeğin yağlı suyu
tohma,karın şişiren
tökezimek,bir yere ayağı takılmak
tutmaç,kesilmiş hamur
ucun ucun,azar azar
uğmaç,ekmek ovularak yapılan yiyecek
uğundurma tutturmak,birini aç bırakmak
umma,lohusaların göğüslerinin şişmesi
urum,anadolu
uruplağ,eski bir tahıl ölçüsü. (arpa için yaklaşık 13 kg. buğday için 16 kg)
üğürlenmek,kendi kendine söylenerek nazla sallanmak
ürümek,havlamak
variyetli,zengin
vergili,evlenmek üzere sözü verilmiş kız
yahşi,i̇yi
yarımağız,i̇steksiz
yaşmak çalmak,ağzı örtecek şekilde baş bağlamak
yavan,yağsız
yayan,yürüyerek
yekinmek,birden kalkmak
yemeni,deriden yapılan hafif ayakkabı
yeygü,hayvan yiyeceği
yoğşumak,hamurun açılacak kıvama gelmesi
yumak,yıkamak
yüz yavuncusu,yüze gülen
zelve,öküzün boyunduruğunun çıkmaması için takılan eğri değnek
zerze,halkalı kapı demiri
zilingir,uykusunu alamamış
zürriyet,döl
nörün,ne yapıyorsun?
nedin gıı,ne diyorsun kız?
singil,uyuşuk
sıtkım sıyrıldı,tiksindim
laf avurtlamak,laf karıştırmak
elinden kör eşşek yin yimez,hiçbir işi başaramaz.
kiyat,kağıt
gumpir,patates
hazaar,galiba
gidişmek,kaşınmak
seğirmek,koşmak
tığteber,bomboş
bıdırdamak,konuşup durmak
okumak,davet etmek
ehmal,i̇hmal
zınarmak,karşı gelmek
dal,sırt
gonşu,komşu
gaysi,kayısı
aporle,hoparlör
mıh,çivi
yüksünme,mahcup olmamak
mabin,koridor
kova,helke
maksi,etek
fistan,etek
balcan,badılcan
zıttına gitmek,hoşlanmamak
hacemmi,hacı emmi
abacı,terzi
ağa,ağabeyi
ağıl,yazın hayvanların koyulduğu yer
ahan,işte şu
ander,münasebetsiz
aşgar,kir
aşma,kaysı kurusu
avlu,evin giriş salonu
ayvan,boş oda
baca,dam
baci,bacı
bardan,büyük çuval
bedimli,meteliksiz
bedire,kova
beg,bey
berf,kar
bişi,yağda kızartılmış hamur
boğızli,obur
cakkıl,zincirli iki ucuna kova takılan uzun çubuk
ceferlik,odunluk
celep,besi hayvanlarının sürüsü
cığız,mızıkçı
cığızlamak,mızıkcılık etmek hakkına razı olmamak
cılfa,pulluk
cırbağa,cılız
cıstik,erkek ayakkabısı
cingen,çingene
culuh,hindi
çakçavi,damların üzerine yapılan çerçeveli camekan
çangıl,zil
çarşut,casus
çenebit,camdan ekmek kabı
çermik,kaplıca
damçi,damla
devamsız,içe yaramaz
dığa,hakararet olarak çocuk
dıldılık,ince elbise
dıreş,uzun boylu
dızınan,iri kıyım
dibek,öğütme aracı
dizlik,külot
duz,tuz
düllük,çocuk düdüğü
eğiş,tandırdan eşya veya ekmek çıkarmak için kullanılan çengelli araç
emi,amca
er,erkek
ergişi,erkek kişi
esgetek,kadın
eze,teyze
gah,elma kurusu
galah,tezek yığını
galo,hayvanları ahıra bağlayan eğik ağaç
gancık,sözünde durmayan
gandırıg,çifti boyunduruğa bağlayan ağaç
geven,deve dikeni
gındıllik,çember
gobçe,düğme
gollik,kısa boylu
gottoz,dik kafalı
görüm,görümce
gucur,kısa boylu
gudik,köpek yavrusu
gullep,kapı demiri
guma,ikinci eş
gurna,kurna
guzzik,kambur
güleş,güler yüzlü
hagos,tarla sulama arkı
halhal,bilezik
hamayıl,boyuna asılan muskalı gümüş kap
haşıl,ana maddesi öğütülmüş buğday
hemecik,bebek oyuncağı
hepenk,kepenk
hesir,otlardan yapılmış sergi
hetircek,tandırın üzerine konan demir
hıbar,duvar dizmede büyük taşlar arasıra konan küçük taş
hınısi,toprak yayık
hırhız,hırsız
hış,köpeklerin boynuna takılan demir
hızmeker,erkek hizmetçi
hodah,hayvanlara bakan çocuk
hollaçelik,çelik çomak oyunu
hoyrat,sevimsiz kötü
höllük,bebeğin altına konan killi toprak
hudik,tedirgin
igit,yiğit
istikan,bardak
kafter,sevimsiz ihtiyar
kalikli,sürtük
kaloş,mes üzerine giyilen yarım ayakkabı
kanayaklı,kadın
karakura,kabus
kartol,patates
kavut,kavrulmuş buğday unu
kazıl,yünden yapılmış kalın iplik
keltoş,kel
keyvani,ev hanımı
kırbaç,hayvanları sürmeye yarayan sopa
kiral,kiler
kizir,köy adını ağız yapabilen kişi
kollaç,kadın ayakkabısı
kor,bakıpta görmeyen
korzevel,kara sapanın ucuna takılan sopa
kotan,tarla sürme aleti
kurik,yeni doğmuş tay
kurun,hayvanların su içtiği uzun kap
külfet,ev halkı
külve,tandırın hava deliği
kürsü,tandırın üzerine konan masa
leçek,tülbent
leğen,yıkanmaya yarayan kab
leppik,taş oynunda kullanılan yassı taş
lobiya,yeşil fazülye
mablağ,çay kaşığı
mahat,sedir
mahrama,mendil
malıh,kağnı kayışının ucuna takılan odun parçası
maraba,tarım işcisi
matıf,suratsız adam
mazanni,kötü huylu
mazi,kağnının tekerlerini birbirine bağlayan odun
medek,dişi manda
merek,ot ve saman konulan depo
mılıhci,yüze gülen karıştırıcı
mırıh,yarık dudak
mısmar,iri çivi
mozik,buzağının büyüğü
aburcubur,karışık
abruka,çevirme
abrul,nisan
acamı,acemi
accuk,az olan
acap,acaba.acep
aclanmak,acıkmak
adamakıllı,doğru
adref,etraf.çevre
afkurma,sinirlenme
afur,ahır
aga,arkadaş
agıbet,acaba .gelecek
ağanamak,i̇nlemek.anlamak
ağarlamak,misafir etmek
ağır,yavaş hareket eden
ağırmak,yüksek sesle bağırma
ahacuk,i̇şte
aha,burada.i̇şte
ahmak,aptal.salak
akak,ormandan su akmayan taşlı su yolu
akınmak,kayak
akunduruk,çam sakızı
akunduz,geniş yapraklı yabani bitki
akuru gitme,yamaç yerde düz gitme. paralel
alaf,hayvan yiyeceği
alamuk,yarı güneşli hava.bunaltıcı sıcaklık
alartı,aydınlık
allancak,hamak
alaşağı,horonda eğilme
alemeşkere,alani
aluşuk,devamlı gelen.alışkan.ucu yanan odun
amade,hazır olan
amel,i̇shal
andaval,salak
andır,adı bilinmeyen.i̇şe yaramayan
andır kalsın,uzak dursun
angaz,büyük
angut,aptal
annak,meydan
annaklama,gözetleme.bakma
anlak,açık alan
argış,yük taşımada verilen mola
arpacık,gözde çıkan sivil.ekilecek küçük soğan
arısokması,arı ısırması
arkuru,paralel
arkurulamak,yan tarafa doğru gitmek
artuk,yemekten arda kalan
aruk,zayıf
aruklama,zayıflama
aşak,yünden ip yapma aracı
aşar,olgun turşu
aşana,evlere giriş kısmı
aşıkatma,yarışma.rekabet
aşlama,meyve ağacına aşı
aşki,olayın nedeni belli olması
aşmak,geçmek
aştı,geçti
atkı,omuza alınan örtü
atlak,dereden kolay geçme yer
atlama,ayıklama.fındık ocağını budama yapmak
avcuk,ellin iç kısmı.aya
avu,zehir
ayam,hava.hava durumu
ayama,takma ad
ayalama,koruma
ayetse,yavaş yavaş
ayırtlama,temizleme
aykuru,ters
aylak,avare gezen
ayı kulağı,zehirli bitki
azgun,çıldın
azman,melez
bacca,bahça
baddal,geniş
bahalı,fiyatlı
bakraç,kuplu süt
balçık,çok sulu çamur
baldıran,yabani bitki
bannık,yabani mor çiçekli bitki
bar,beyaz küf
baraballi,tabanca çeşiti
bardabaş,çok gürültü yapan kişi
batıl,geçersiz
batırma,sokma.delme
batman,bir sürü.ağır
basuk,zayıf cılız çocuk.kısa
basur,mayasıl.kaşıntı
başak,toplamadan kalan fındık.soğlama
bece,gece
bed,kötü.çirkin
beduru,kuyu kazanı
bel,çatal ağızlı tarım aleti
bellemek,toprak işlemek
belertmek,gözünü iyice açmak
berata,tabanca çeşiti
bere,koyun sağım yeri
beri,burası
besbelli,herhalde.belli ki
beşbıyık,muşmula meyvesi
beter,çok
beylik,fabrikasyon
bezene,bezelye
bızdıklama,hızla koşmak.tekme
bıllak,parlak
biçik,yeni doğan buzağı
bidutam,az
bile,beraber
bileki,ekmek pişirilen kap
bidorama,azıcık
bisürü,çok fazla
bitduma,azıcık
bittik,çok az
boduç,ağaç kap
bohça,beze sarılarak taşınan eşya
boydak,yalnız başına
boyuna,sürekli
bozaltı,alaca karanlık
böce,fasulye
böçük,böçek
böğün,bugün
böğür,göğüs
börmek,uzun sesli öksürmek
börülce,yabani bitki
bucaklık,evlerdeki mutfak odası
buğuz,eziyet
buğuz etme,eziyet
bukma,ters çevireme
bulaşuk,i̇spiyoncu
bunamak,çok canı darlanmak
buruk,acı
buymak,üşümek
bük,düzlük arazi
bükük,eğri olan
bürümcek,beyaz başörtüsü
büsumuk,bunaltıcı.sıkıcı kapalı
büz,beton boru
büzük,toplu
cahal,bilgisi olmayan
cahdetmek,azimetmek
camedan,vitrin
cam işığı,gaz lambası
camadan,keçi kılı sırt çantası
canketme,yeni anlama.aklı başına gelme
caplama,az kalın kereste.cıta
cara,akıntı
caranak,sağnak yağmur
cavaloz,sincap
caydak,yalnız
cazgır,çok konuşan
ceccal,çok yaramaz çocuk
celecoş,keş pişirilerek yapılan yemek
cember,başörtü çeşidi
ceek garga,bağıran alakarga
cenderme,jandarma
cenik,yaylaya göre sahil
cepken,yağmurluk
cerahat,i̇ltahap.i̇rin
cereme,zahmet
cerlemek,sinirlenme
cıbban,alkış
cıbıldak,çıplak. yoksul
cıdık,daldan kuş kapanı
cıftır,çok hızlı şekilde
cımbış,komiklik.şaka
cındık,küçük
cıngıl,küçük su kapı
cırankettirmek,vurmak
cırıfta,küçük ekmek
cırıtla,hamur işi yağda pişen lokma
cırım cıngıl,çok fazla.-yırtık
cırmak,kök.ağaç kökü
cıscıbıl,çırılçıplak
cırtlık,küçük çalı kuşu
cızan,oyun bozan
cızıltı,i̇nce sızan akan.i̇nce ses
cızmak,çizmek
cibilliyet,soy
cicik,meme.göğüs
cidduk,küçük sevimli çocuk
ciğik,küçük ses
ciğikleme,gizlice gözetleme
cilim,yapışkan çam ağacı
cimbar,harabe yer
cinibiz,keskin zekalı.kurnaz
civirtmak,i̇shal.oyundan çıkan
cont,lastik çizme
cöbre,suyu alınmış ezik üzüm posası
cöbül,süzülecek üzüm şırası
cufar,zehir
cufarlanmak,sıcaktan bunalma
cümbürcemat,kalabalık
cürüm,çevre.etraf
çalan,şelale
çaldırmak,uyumak
çalım,gösteriş
çalımsatma,gösteriş yapma
çalpalamak,çalkalamak
çalpara,kalaylı tencere
çarpık,felçli
çaplama,sallamak
çapula,ayakkabı
çatmak,rastlama.rast gelme
çavgun,sağnak yağmur
çavun,i̇z
çaytak,bacakları dışa eğri kimse
çekek,küçük gemi barınağı
çekerez,bir sincap çeşidi
çekişme,ağız kavgası
çençük,kapı kilidi
çendik,i̇şaret
çenti,dastardan yapılan süslü çanta
çeltuk,i̇çi boş fındık çotanağı
çepin,küçük kazma
çepni,karadeniz bölgesine yerleşen türkmen boyları
çettüğüm,kördüğüm
çıban,büyük derin sivilce
çıbarca,eğrelti otu çeşidi
çıkıntı,evlere sonradan ilave edilen oda.görülen uç
çılmık,i̇nce çubuk
çılpı,doğrultu
çıpır,alaca çok renkli
çıpırdak,çok parlak renkli
çıtır,i̇nce sık dallı dikenli
çıtlaböcü,ateşböceği
çıtlak,ateş parçası.kıvılcım
çibre,yazı yazma ucu
çiğselti,i̇nce yağan yağmur.çiğse
çil,yeni çimlenmiş tohum
çileklik,çalı çileği.yaprağından çorba yapılan çilek
çillenme,tohumların çimlenmesi yeşermesi
çilli,yüzü gözü benli
çitemek,dikmek tutturmak
çitlak,küçük ateş parçası
çivil,küçük tane
çivit,çekirdek
çizelti,hafif yağan yağmur
çomak,kısa çubuk
çort,dikenli
çömen,ot yığını.otluk
çömez,acemi
çöllemek,bahçeden meyve çalma
çölük,küçük ağaç parçası.kuru ince dal
çöör,mısırın alt sap kısmı
çöten,mısır kurutulan ambar. darı ambarı
çörtük,yabani küçük armut ağacı
çükelik,çökelek.kurutulan ayran peyniri
